"","CVE_ENT","CVE_MUN","NOM_MUN","Mx_Manglar","Mx_Mangl_1","Has_mun","Has_mangla"
"957","24","013","Ciudad Valles",0,0,242356.84,0
"958","24","012","Tancanhuitz",0,0,13736.497,0
"959","24","011","Ciudad FernÃ¡ndez",0,0,51843.617,0
"960","24","010","Ciudad del MaÃ­z",0,0,315038.103,0
"961","24","009","Cerro de San Pedro",0,0,12261.767,0
"962","24","029","San MartÃ­n Chalchicuautla",0,0,41312.98,0
"963","24","008","Cerritos",0,0,96243.832,0
"964","24","007","Cedral",0,0,116935.196,0
"965","24","006","Catorce",0,0,194494.719,0
"966","24","028","San Luis PotosÃ­",0,0,148199.522,0
"967","24","005","CÃ¡rdenas",0,0,39049.847,0
"968","24","004","Armadillo de los Infante",0,0,62336.707,0
"969","24","027","San Ciro de Acosta",0,0,63915.354,0
"970","24","026","San Antonio",0,0,9469.183,0
"971","24","025","Salinas",0,0,172984.195,0
"972","24","024","Rioverde",0,0,306400.505,0
"973","24","002","Alaquines",0,0,58623.509,0
"974","24","001","Ahualulco",0,0,77543.362,0
"975","24","023","RayÃ³n",0,0,78640.955,0
"976","24","022","Moctezuma",0,0,129152.5,0
"977","24","036","Tamasopo",0,0,132294.521,0
"978","25","017","Sinaloa",0,0,632576.048,0
"979","25","012","MazatlÃ¡n",14582827.9281746,0.575806301520005,253259.263,1458.283
"980","25","001","Ahome",164972288.079536,4.12910952134625,399534.784,16497.229
"981","25","010","El Fuerte",0,0,416982.474,0
"982","25","011","Guasave",132242704.646346,4.50084439414938,293817.544,13224.27
"983","25","003","Badiraguato",0,0,483634.56,0
"984","25","004","Concordia",0,0,216727.266,0
"985","25","013","Mocorito",0,0,280056.692,0
"986","25","014","Rosario",8478436.19816644,0.321800317049136,263468.858,847.844
"987","25","005","CosalÃ¡",0,0,217206.268,0
"988","25","007","Choix",0,0,321465.56,0
"989","25","015","Salvador Alvarado",0,0,77355.139,0
"990","25","016","San Ignacio",3999743.17770512,0.078888732710514,507010.702,399.974
"991","25","018","Navolato",191803881.030079,8.22958309265403,233066.34,19180.388
"992","25","008","Elota",20872991.6140644,1.27014432716145,164335.589,2087.299
"993","25","006","CuliacÃ¡n",90798731.7711863,1.44009995671417,630502.982,9079.873
"994","25","009","Escuinapa",54157571.8706983,3.48362434985593,155463.295,5415.757
"995","25","002","Angostura",88713219.4363542,4.65682092313968,190501.677,8871.322
"996","26","072","San Ignacio RÃ­o Muerto",48696056.1263994,3.51958319356581,138357.452,4869.606
"997","26","071","Benito JuÃ¡rez",2453697.61280604,0.664129683285205,36946.062,245.37
"998","26","045","Opodepe",0,0,222427.8,0
"999","26","044","Onavas",0,0,53415.856,0
"1000","26","043","Nogales",0,0,175657.744,0
"1001","26","041","Nacozari de GarcÃ­a",0,0,173576.002,0
"1002","26","039","Naco",0,0,123845.098,0
"1003","26","070","General Plutarco ElÃ­as Calles",0,0,365670.444,0
"1004","26","067","Villa Hidalgo",0,0,147149.661,0
"1005","26","066","Ures",0,0,308806.003,0
"1006","26","065","Tubutama",0,0,172543.169,0
"1007","26","040","NÃ¡cori Chico",0,0,283266.74,0
"1008","26","038","Moctezuma",0,0,187751.862,0
"1009","26","037","MazatÃ¡n",0,0,68300.958,0
"1010","26","069","YÃ©cora",0,0,266766.406,0
"1011","26","063","Tepache",0,0,77868.203,0
"1012","26","036","Magdalena",0,0,123942.21,0
"1013","26","035","Imuris",0,0,217001.311,0
"1014","26","034","HuÃ©pac",0,0,42081.396,0
"1015","26","031","Huachinera",0,0,119755.787,0
"1016","26","064","Trincheras",0,0,301044.789,0
"1017","26","062","Suaqui Grande",0,0,91478.119,0
"1018","26","068","Villa Pesqueira",0,0,112323.299,0
"1019","26","028","Granados",0,0,36388.931,0
"1020","26","027","Fronteras",0,0,261634.538,0
"1021","26","061","Soyopa",0,0,171675.957,0
"1022","26","060","SÃ¡ric",0,0,135359.191,0
"1023","26","059","Santa Cruz",0,0,100119.137,0
"1024","26","025","Empalme",879898.246453738,0.148339975701764,59316.327,87.99
"1025","26","058","Santa Ana",0,0,147658.414,0
"1026","26","057","San Pedro de la Cueva",0,0,222953.268,0
"1027","26","026","Etchojoa",3234676.9828444,0.340979407076396,94864.291,323.468
"1028","26","024","Divisaderos",0,0,38570.002,0
"1029","26","023","Cumpas",0,0,201004.87,0
"1030","26","022","Cucurpe",0,0,157788.05,0
"1031","26","056","San Miguel de Horcasitas",0,0,111565.685,0
"1032","26","054","San Javier",0,0,53593.446,0
"1033","26","053","San Felipe de JesÃºs",0,0,15134.49,0
"1034","26","052","Sahuaripa",0,0,500375.239,0
"1035","26","042","Navojoa",0,0,280870.786,0
"1036","26","021","La Colorada",0,0,412209.759,0
"1037","26","020","CarbÃ³",0,0,258181.184,0
"1038","26","019","Cananea",0,0,231618.819,0
"1039","26","014","BaviÃ¡cora",0,0,84252.678,0
"1040","26","012","BÃ¡cum",1689650.1339147,0.10671859460167,158327.622,168.965
"1041","26","051","Rosario",0,0,351977.122,0
"1042","26","033","Huatabampo",15300228.2252522,0.802945359380998,190551.3,1530.023
"1043","26","018","Cajeme",3870087.9357965,0.079365023049675,487631.426,387.009
"1044","26","016","BenjamÃ­n Hill",0,0,141219.393,0
"1045","26","032","HuÃ¡sabas",0,0,82173.992,0
"1046","26","015","Bavispe",0,0,172166.784,0
"1047","26","055","San Luis RÃ­o Colorado",0,0,887679.777,0
"1048","26","029","Guaymas",31516882.615166,0.396400346590957,795077.07,3151.688
"1049","26","030","Hermosillo",9607859.44353705,0.056666285600403,1695516.01,960.786
"1050","26","013","BanÃ¡michi",0,0,80806.398,0
"1051","26","011","Bacoachi",0,0,123095.382,0
"1052","26","010","Bacerac",0,0,134460.217,0
"1053","26","009","Bacanora",0,0,112893.344,0
"1054","26","048","Puerto PeÃ±asco",0,0,619367.799,0
"1055","26","008","BacadÃ©huachi",0,0,106599.599,0
"1056","26","007","Atil",0,0,30043.002,0
"1057","26","006","Arizpe",0,0,307197.12,0
"1058","26","005","Arivechi",0,0,72631.128,0
"1059","26","001","Aconchi",0,0,36817.002,0
"1060","26","017","Caborca",0,0,1067168.939,0
"1061","26","050","RayÃ³n",0,0,87905.135,0
"1062","26","049","Quiriego",0,0,378055.759,0
"1063","26","004","Altar",0,0,445770.299,0
"1064","26","003","Alamos",0,0,642281.272,0
"1065","26","047","Pitiquito",4432826.69987227,0.045140945843823,981996.858,443.283
"1066","26","046","Oquitoa",0,0,91638.259,0
"1067","26","002","Agua Prieta",0,0,394654.387,0
"1068","27","001","BalancÃ¡n",0,0,357736.475,0
"1069","27","002","CÃ¡rdenas",136910703.405587,6.68154302138023,204908.811,13691.07
"1070","27","003","Centla",124179310.687003,4.61059647328996,269334.589,12417.931
"1071","27","004","Centro",0,0,171776.78,0
"1072","27","005","Comalcalco",62299435.9881071,8.10986725799484,76819.304,6229.944
"1073","27","006","CunduacÃ¡n",0,0,59870.643,0
"1074","27","007","Emiliano Zapata",0,0,59231.345,0
"1075","27","008","Huimanguillo",28263448.2197364,0.760239541628883,371770.3,2826.345
"1076","27","009","Jalapa",0,0,59234.633,0
"1077","27","010","Jalpa de MÃ©ndez",11645397.5766902,3.15061984017878,36962.243,1164.54
"1078","27","011","Jonuta",8207186.21777535,0.498988009896684,164476.622,820.719
"1079","27","012","Macuspana",0,0,242906.663,0
"1080","27","013","Nacajuca",627035.012749879,0.117132402706109,53532.157,62.704
"1081","27","014","ParaÃ­so",121355997.027003,29.7410034913249,40804.271,12135.6
"1082","27","015","Tacotalpa",0,0,73459.852,0
"1083","27","016","Teapa",0,0,42080.858,0
"1084","27","017","Tenosique",0,0,188235.056,0
"1085","29","033","Tlaxcala",0,0,5197.81,0
