Entidad,Clave_Entidad,Municipio,Clave_Municipio, Cuenta_Atlas ,Anio_Atlas,Cuenta_PPC,Cuenta_UnidadPC
 Veracruz de Ignacio de la Llave,30,Río Blanco,138,1,2011,1,1
 Veracruz de Ignacio de la Llave,30,San Andrés Tuxtla,141,1,2008,1,1
 Veracruz de Ignacio de la Llave,30,Tempoal,161,1,2011,1,1
 Veracruz de Ignacio de la Llave,30,Tlacotalpan,178,1,2013,0,1
 Veracruz de Ignacio de la Llave,30,Tlapacoyan,183,1,2009,0,1
 Veracruz de Ignacio de la Llave,30,Vega de Alatorre,192,1,2011,0,0
 Veracruz de Ignacio de la Llave,30,Veracruz,193,1,2006,1,1
 Veracruz de Ignacio de la Llave,30, Xalapa,087,1,2009,1,1
 Veracruz de Ignacio de la Llave,30, Xico,092,1,2011,0,1
 Veracruz de Ignacio de la Llave,30, Zongolica,201,1,2017,0,1
