Entidad,Clave_Entidad,Municipio,Clave_Municipio, Cuenta_Atlas ,Anio_Atlas,Cuenta_PPC,Cuenta_UnidadPC
México,15,Ecatepec de Morelos,033,1,2019,1,1
México,15,Ecatzingo,034,1,2019,1,1
México,15,El Oro,064,1,2020,1,1
México,15, Huehuetoca,035,1,2019,1,1
México,15,Hueypoxtla,036,1,2020,1,1
México,15,Huixquilucan,037,1,2017,1,1
México,15,Isidro Fabela,038,1,2020,1,1
México,15, Ixtapaluca,039,1,2020,1,1
México,15,Ixtapan de la Sal,040,1,2019,1,1
México,15,Ixtapan del Oro,041,1,2017,1,1
México,15,Ixtlahuaca,042,1,2019,1,1
México,15, Jaltenco,044,1,2020,1,1
México,15, Jilotepec,045,1,2019,1,1
México,15,Jilotzingo,046,1,2019,1,1
México,15,Jiquipilco,047,1,2019,1,1
México,15,Jocotitlán,048,1,2019,1,1
México,15,Joquicingo,049,1,2020,1,1
México,15,Juchitepec,050,1,2019,1,1
México,15, La Paz,070,1,2014,1,1
México,15,Lerma,051,1,2020,1,1
México,15,Luvianos,123,1,2019,1,1
México,15,Malinalco,052,1,2019,1,1
México,15,Melchor Ocampo,053,1,2020,1,1
México,15,Metepec,054,1,2019,1,1
México,15,Mexicaltzingo,055,1,2020,1,1
México,15,Morelos,056,1,2020,1,1
México,15,Naucalpan de Juárez,057,1,2014,1,1
México,15,Nextlalpan,059,1,2014,1,1
México,15,Nezahualcóyotl,058,1,2016,1,1
México,15,Nicolás Romero,060,1,2019,1,1
México,15,Nopaltepec,061,1,2014,1,1
México,15,Ocoyoacac,062,1,2020,1,1
México,15, Ocuilan,063,1,2020,1,1
México,15,Otumba,065,1,2020,1,1
México,15,Otzoloapan,066,1,2016,1,1
México,15,Otzolotepec,067,1,2019,1,1
México,15,Ozumba,068,1,2019,1,1
México,15,Papalotla,069,1,2015,1,1
México,15,Polotitlán,071,1,2020,1,1
México,15,Rayón,072,1,2019,1,1
México,15,San Antonio la Isla,073,1,2020,1,1
México,15,San Felipe del Progreso,074,1,2019,1,1
México,15,San José del Rincón,124,1,2020,1,1
México,15,San Martín de las Pirámides,075,1,2020,1,1
México,15,San Mateo Atenco,076,1,2018,1,1
México,15, San Simón de Guerrero,077,1,2018,1,1
México,15,Santo Tomás,078,1,2020,1,1
México,15,Soyaniquilpan de Juárez,079,1,2014,1,1
México,15,Sultepec,080,1,2020,1,1
México,15,Tecámac,081,1,2020,1,1
México,15,Tejupilco,082,1,2018,1,1
México,15,Temamatla,083,1,2015,1,1
México,15,Temascalapa,084,1,2014,1,1
México,15,Temascalcingo,085,1,2020,1,1
