CVE_ENT,CVE_MUN,NOM_MUN,Mx_Manglar,Mx_Mangl_1,Has_mun,Has_mangla,LITORAL
"03","002",MulegÃ©,35702938.786861948668957,0.111369801972365,3205800.689,3570.294,"1"
"03","001",ComondÃº,187864957.489458411931992,1.024789785834296,1833204.820,18786.496,"1"
"03","003",La Paz,33865218.637065477669239,0.213821008823710,1583811.564,3386.522,"1"
"03","008",Los Cabos,0.000000000000000,0.000000000000000,375156.126,0.000,"1"
"04","002",Campeche,19485414.547161169350147,0.600667579234574,324395.976,1948.541,"1"
"04","003",Carmen,930451357.741830110549927,10.852691083032896,857346.211,93045.136,"1"
"04","004",ChampotÃ³n,130669025.630848079919815,1.906066670021910,685542.787,13066.903,"1"
"04","007",Palizada,226537637.541956186294556,10.357978427827515,218708.350,22653.764,"1"
"04","001",CalkinÃ­,485334259.850594639778137,23.089415780546119,210197.722,48533.426,"1"
"04","005",HecelchakÃ¡n,104135526.975961193442345,8.167637376395362,127497.735,10413.553,"1"
"04","008",Tenabo,114522976.940947353839874,10.818946348714189,105854.095,11452.298,"1"
"06","001",ArmerÃ­a,3426802.444313697516918,0.838259531279495,40879.970,342.680,"1"
"06","007",Manzanillo,17271552.132262311875820,1.272620989549139,135716.386,1727.155,"1"
"06","009",TecomÃ¡n,14265846.911163965240121,1.519348055960350,93894.528,1426.585,"1"
"07","003",Acapetahua,133512686.963601350784302,23.849901535246062,55980.393,13351.269,"1"
"07","009",Arriaga,10115439.607355849817395,1.252301219288489,80774.812,1011.544,"1"
"07","012",BerriozÃ¡bal,0.000000000000000,0.000000000000000,35197.156,0.000,"1"
"07","017",Cintalapa,0.000000000000000,0.000000000000000,244050.790,0.000,"1"
"07","021",CopainalÃ¡,0.000000000000000,0.000000000000000,34641.319,0.000,"1"
"07","040",Huixtla,5669098.795224599540234,1.431103094482235,39613.490,566.910,"1"
"07","051",Mapastepec,41116454.027712687849998,3.371414455857117,121956.095,4111.645,"1"
"07","054",MazatÃ¡n,37672876.270951062440872,9.846219621294530,38261.259,3767.288,"1"
"07","061",Ocozocoautla de Espinosa,0.000000000000000,0.000000000000000,209547.902,0.000,"1"
"07","062",OstuacÃ¡n,0.000000000000000,0.000000000000000,59849.447,0.000,"1"
"07","068",Pichucalco,0.000000000000000,0.000000000000000,59314.913,0.000,"1"
"07","069",Pijijiapan,133423604.497084051370621,7.595527573676908,175660.747,13342.360,"1"
"07","074",Reforma,0.000000000000000,0.000000000000000,43489.760,0.000,"1"
"07","079",San Fernando,0.000000000000000,0.000000000000000,35953.890,0.000,"1"
"07","087",Suchiate,9541963.434054726734757,4.041155726670658,23611.967,954.196,"1"
"07","089",Tapachula,14425642.842233676463366,1.471797518151330,98013.773,1442.564,"1"
"07","092",TecpatÃ¡n,0.000000000000000,0.000000000000000,125636.221,0.000,"1"
"07","097",TonalÃ¡,88053973.100810348987579,4.753247132349228,185250.147,8805.397,"1"
"12","053",San Marcos,9818118.878419339656830,0.848954727569901,115649.499,981.812,"1"
"12","013",AzoyÃº,0.000000000000000,0.000000000000000,39594.420,0.000,"1"
"12","018",Copala,2453078.583029113709927,0.827156549719631,29656.763,245.308,"1"
"12","025",Cuautepec,22389.577151373508968,0.007130870077095,31398.100,2.239,"1"
"12","046",Ometepec,0.000000000000000,0.000000000000000,60265.563,0.000,"1"
"12","077",Marquelia,3744594.772009918000549,1.776949439115621,21073.164,374.459,"1"
"12","080",JuchitÃ¡n,0.000000000000000,0.000000000000000,25377.652,0.000,"1"
"12","023",Cuajinicuilapa,6414187.993168405257165,1.015517444809909,63161.771,641.419,"1"
"12","048",PetatlÃ¡n,12102873.835615871474147,0.613839308574769,197166.810,1210.287,"1"
"12","014",Benito JuÃ¡rez,8937570.657918155193329,3.886872071882461,22994.250,893.757,"1"
"12","057",TÃ©cpan de Galeana,3660014.727819178719074,0.128641340007327,284513.107,366.001,"1"
"12","068",La UniÃ³n de Isidoro Montes de Oca,2118631.191094945184886,0.120362096477958,176021.460,211.863,"1"
"12","001",Acapulco de JuÃ¡rez,7065672.452806103043258,0.408945855878734,172777.700,706.567,"1"
"12","036",Igualapa,0.000000000000000,0.000000000000000,19515.359,0.000,"1"
"12","038",Zihuatanejo de Azueta,4202948.009242380037904,0.286338741679926,146782.373,420.295,"1"
"12","021",Coyuca de BenÃ­tez,10690847.979844944551587,0.590404531117889,181076.659,1069.085,"1"
"12","030",Florencio Villarreal,5108950.489488226361573,1.796504199912875,28438.289,510.895,"1"
"14","020",Cabo Corrientes,279600.082199034630321,0.018115845946234,154340.064,27.960,"1"
"14","022",CihuatlÃ¡n,1758410.367202733177692,0.350747593771431,50133.213,175.841,"1"
"14","043",La Huerta,6495660.302275039255619,0.323010274547720,201097.637,649.566,"1"
"14","067",Puerto Vallarta,1460029.741215021349490,0.214437585188267,68086.466,146.003,"1"
"14","100",TomatlÃ¡n,13577865.572910543531179,0.450373682138803,301479.996,1357.787,"1"
"16","008",Aquila,258261.056763118715025,0.011406148059413,226422.676,25.826,"1"
"16","052",LÃ¡zaro CÃ¡rdenas,11048153.654023190960288,0.960483456250874,115027.006,1104.815,"1"
"16","014",Coahuayana,3462449.503058191854507,0.946136531127900,36595.664,346.245,"1"
